tinh;huyen;xa;diaban;hoso;m7c1;m7c2;m7c3;m7c4;m7c5;m7c6;m7c7;m7c8;m7c9;m7c10;m7c11;m7c12;m7c13;m7c14;m7c15;m7c16;m7c17;m7c18;m7c19;m7c20a;m7c20b;m7c21;m7c22;m7c23;m7c23a;m7c24;m7c241;m7c242;m7c25;m7c251;m7c252;m7c253;m7c254;m7c26;m7c27;m7c27a;m7c28;m7c29;m7c30;m7c31;m7c32;m7c33;m7c34;m7c35;m7c36;m7c37;m7c38;m7c39;m7c391;m7c40;m7c41;m7c42;m7c43;m7c44
101;9;11;35;14;1;160;2;1985;;1;2;;;;;8000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;1800;1;1;48;;2568;2;;;
101;9;11;35;20;1;90;2;1980;;1;2;;;;;9000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;840;1;1;1;3360;1;1;180;;4380;2;;;
101;9;15;15;13;1;65;2;1992;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;540;1;1;1;2400;1;1;72;;3012;1;1;12;1800
101;9;15;15;15;1;40;2;1993;;3;1;1;120;12;12;850000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;540;1;1;1;2400;1;1;144;;3204;1;1;12;2000
101;9;15;15;19;1;25;2;2004;2;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;432;1;1;1;3600;1;1;108;;4140;1;1;12;1200
101;9;19;26;13;1;200;2;1983;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;3600;1;1;180;;4500;1;2;;
101;9;19;26;14;1;80;2;2002;2;1;2;;;;;1000000;2;;;;;;1;2;2002;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;1200;1;1;40;;1600;1;2;;
101;9;19;26;15;1;70;2;1981;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;1800;1;1;180;;2580;2;;;
101;9;23;11;14;1;22;3;1984;;1;2;;;;;250000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;180;1;1;1;360;1;1;48;;588;2;;;
101;9;23;11;15;1;43;4;1980;;1;2;;;;;750000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;540;1;1;1;3000;1;1;96;;3636;2;;;
101;9;23;11;24;1;56;2;1991;;1;2;;;;;600000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;3600;1;1;120;;4440;2;;;
101;9;31;10;13;1;60;2;1976;;1;2;;;;;900000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;960;1;1;1;4800;1;1;144;;5904;2;;;
101;9;31;10;14;1;67;2;2005;2;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;2400;1;1;106;;2986;1;1;12;1800
101;9;31;10;15;1;60;2;1976;;1;2;;;;;1000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;1250;1;1;72;;1682;2;;;
