_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,60806.0,,,0.0,100.0,860.0,,2000000000.0,100.0,107000000000.0,0.0,,,,599640.0,180000000.0,0.0,,,,,85000000000.0,466176.0,,3.0,,191.0,,18000000000.0,,0.0,,0.0,1000000000.0,,107000000000.0,0.0,0.0
0.0,,,,0.0,100.0,1060.0,10773.0,3000000000.0,100.0,129000000000.0,0.0,,,,599640.0,,85.0,,,,,60000000000.0,,,3.0,,,,65000000000.0,,0.0,,8800000000.0,2600000000.0,,129000000000.0,8800000000.0,7480000000.0
0.0,60048.0,,,0.0,95.0,319.0,,632122937.0,40.0,66213784837.0,0.0,,,,599641.0,390000000.0,100.0,,,,,39270087635.0,466183.0,,3.0,,202.0,,13793801500.0,,0.0,,820000000.0,1350349700.0,,62903095595.15,820000000.0,820000000.0
5000000000.0,,,,0.0,83.0,347.0,10780.0,200000000.0,30.0,275000000000.0,0.0,,,,599641.0,700000000.0,100.0,,,,,144000000000.0,,,3.0,,,,33000000000.0,,0.0,,332000000.0,1000000000.0,,228250000000.0,5332000000.0,5332000000.0
0.0,60799.0,,,2600000000.0,70.0,85.0,,1000000000.0,95.0,13000000000.0,0.0,,,,599643.0,150000000.0,100.0,,,,,9000000000.0,466187.0,,2.0,,211.0,,1500000000.0,,0.0,,500000000.0,400000000.0,,9100000000.0,3100000000.0,3100000000.0
0.0,,,,15000000000.0,100.0,80.0,10784.0,2000000000.0,100.0,25000000000.0,0.0,,,,599643.0,125000000.0,100.0,,,,,12000000000.0,,,2.0,,,,2500000000.0,,0.0,,10000000000.0,550000000.0,,25000000000.0,25000000000.0,25000000000.0
0.0,60746.0,,,0.0,100.0,239.0,,0.0,100.0,7200000000.0,0.0,,,,599644.0,96000000.0,100.0,,,,,25000000.0,466193.0,,3.0,,220.0,,4000000000.0,,0.0,,170000000.0,240000000.0,,7200000000.0,170000000.0,170000000.0
0.0,,,,0.0,100.0,120.0,10790.0,475000000.0,0.0,9500000000.0,0.0,,,,599644.0,174000000.0,10.0,,,,,1900000000.0,,,3.0,,,,5700000000.0,,0.0,,80000000.0,324000000.0,,9500000000.0,80000000.0,8000000.0
0.0,60988.0,,,0.0,80.0,1670.0,,20000000.0,100.0,20000000000.0,0.0,,,,599645.0,200000000.0,100.0,,,,,0.0,466195.0,,3.0,,222.0,,13000000000.0,,0.0,,2000000000.0,460000000.0,,16000000000.0,2000000000.0,2000000000.0
0.0,,,,0.0,100.0,167.0,10792.0,-9.0,0.0,110000000000.0,0.0,,,,599645.0,600000000.0,0.0,,,,,1200000000.0,,,3.0,,,,70000000000.0,,0.0,,0.0,1000000000.0,,110000000000.0,0.0,0.0
