idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599695.0,10955.0,,,,,3.0,,100.0,1300000000000.0,-7.0,0.0,0.0,,,24000000000.0,3000000000.0,,1000000000000.0,5000000000.0,0.0,0.0,0.0,4000.0,50.0,50.0,1300000000000.0,0.0,0.0
599696.0,10958.0,,,,,2.0,,100.0,40540000000.0,0.0,1.0,0.0,110000000.0,,500000000.0,362000000.0,,4000000000.0,500000000.0,500000000.0,0.0,0.0,40.0,0.0,100.0,40540000000.0,500000000.0,0.0
599700.0,10966.0,,,,,3.0,,80.0,84940000000.0,3.0,3.0,0.0,,,20000000000.0,100000000.0,,35000000000.0,100000000.0,0.0,0.0,0.0,100.0,50.0,50.0,67952000000.0,0.0,0.0
599701.0,10968.0,,,,,3.0,,100.0,580000000000.0,0.0,0.0,0.0,,,30000000000.0,1000000000.0,,100000000000.0,10000000.0,0.0,0.0,0.0,800.0,100.0,100.0,580000000000.0,0.0,0.0
599702.0,10969.0,,,,,3.0,,40.0,216100000000.0,0.0,0.0,1000000000.0,,,3000000000.0,200000000.0,,66000000000.0,500000000.0,0.0,0.0,1000000000.0,550.0,30.0,50.0,86440000000.0,1000000000.0,300000000.0
599705.0,10974.0,,,,,2.0,,100.0,170600000000.0,0.0,0.0,0.0,,,700000000.0,100000000.0,,150000000000.0,100000000.0,0.0,0.0,0.0,50.0,50.0,50.0,170600000000.0,0.0,0.0
599706.0,10981.0,,,,,3.0,,50.0,28190000000000.0,1.0,1.0,50000000000.0,,,190000000000.0,592000000000.0,,14380000000000.0,324000000000.0,0.0,0.0,50000000000.0,7000.0,30.0,30.0,14095000000000.0,50000000000.0,15000000000.0
599707.0,10982.0,,,,,3.0,,99.0,97000000000.0,0.0,0.0,0.0,,,8000000000.0,5000000000.0,,15000000000.0,400000000.0,26000000000.0,28000000000.0,0.0,100.0,50.0,50.0,96030000000.0,54000000000.0,27000000000.0
599708.0,10983.0,,,,,3.0,,100.0,761000000000.0,0.0,1.0,7000000000.0,,,6000000000.0,3000000000.0,,616000000000.0,3100000000.0,0.0,0.0,7000000000.0,150.0,50.0,50.0,761000000000.0,7000000000.0,3500000000.0
599709.0,10984.0,,,,,3.0,,60.0,426000000000.0,0.0,0.0,20000000000.0,,,10000000000.0,3000000000.0,,66000000000.0,3000000000.0,9000000000.0,0.0,20000000000.0,500.0,30.0,30.0,255600000000.0,29000000000.0,8700000000.0
599712.0,10990.0,,,,,3.0,,100.0,150500000000.0,0.0,1.0,0.0,,,12470000000.0,870000000.0,,88950000000.0,950000000.0,0.0,0.0,0.0,220.0,30.0,50.0,150500000000.0,0.0,0.0
